title,company,location,description,skills
Entry/Junior Level Coder/Programmer - Remote,SynergisticIT,"Washington, District of Columbia",synergisticit making connection whatever goal software programmer help achieve software development team take turnkey project execute effective efficient manner looking source talent recruiter find ideal talent company secret success well start taking quality time listen client specific need thorough grasp goal better customize development per specific need also tailor make recruiting program exceed expectation since founding 2010 synergisticit strategy earned company enviable position software development staffing skill enhancement field synergisticit continues work hundred satisfied american client software programmer working project gaining hand experience cutting edge technology moving contribute skill great client like apple google client ebay paypal kroger walt disney company hundred tired working inefficient programmer take lot time ramp want try u software programmer hit ground running get maximum return investment already tried rest time tried best synergisticit home best data scientist software programmer bay area u synergisticit proven track record successfully skill enhancement staffing employee world iconic brand team take time fully understand every client need could best meet staffing requirement knowledgeable staff synergisticit always happy work client ensure reach software development goal besides staffing synergisticit also committed helping young professional advance career robust upskill program everyone go synergisticit program learns skill necessary succeed many field ranging java machine learning additionally everyone trained synergisticit extensive mock technical interview screening bolster career prospect last certainly least synergisticit take great care respect privacy consideration every client company work synergisticit rest assured confidential data protected using date encryption technology synergisticit also complies latest nda agreement required skill java software programmer bachelor degree master degree computer science computer engineering electrical engineering information system highly motivated self learner technically inquisitive experience programming language java understanding software development life cycle project work skill knowledge core java javascript c software programming spring boot microservices docker jenkins rest api experience excellent written verbal communication skill data science machine learning required skill bachelor degree master degree computer science computer engineering electrical engineering information system project work technology needed highly motivated self learner technically inquisitive experience programming language java understanding software development life cycle knowledge statistic sa python computer vision data visualization tool excellent written verbal communication skill preferred skill nlp text mining tableau powerbi time series analysis regularly interact top tech company give candidate competitive advantage please see u exhibiting oracle cloud world oracle java one la vega 2022 gartner data analytics summit florida 2023 oracle cloudworld event ocw la vega 2022 synergisticit youtube http www youtube com watch v oafohcgy9z8 http www youtube com watch v emo7nrwhklm http www youtube com watch v nvbu9ryz6ui http www youtube com watch v yy74yvjatvg synergisticit gartner data analytics summit 2023 youtube preparing interview please visit http www synergisticit com interview question looking right matching candidate client please apply via job posting required skill java full stack software programmer bachelor degree master degree computer science computer engineering electrical engineering information system highly motivated self learner technically inquisitive experience programming language java understanding software development life cycle project work skill knowledge core java javascript c software programming spring boot microservices docker jenkins rest api experience excellent written verbal communication skill data science machine learning position required skill bachelor degree master degree computer science computer engineering electrical engineering information system project work technology needed highly motivated self learner technically inquisitive experience programming language java understanding software development life cycle knowledge statistic sa python computer vision data visualization tool excellent written verbal communication skill preferred skill nlp text mining tableau powerbi tensorflow get email skill enhancement team please ask take distribution list make unavailable share database client servicing team phone call please shortlisted candidate would reached third party agency candidate c2c candidate,N/A
Software Engineer Jobs,Open Systems Technologies Corporation,"Alexandria, Virginia",open system technology corporation leader government contracting marketplace providing enterprise security cloud computing solution support large organization capability include supplying federal government entity private business software development scientific engineering technical assistance system integration enterprise security since founding 1996 ost committed delivering high quality best class result bring added value client investing employee future providing exciting project work robust benefit include technical training certification relocation assistance 401k match immediate vesting open system technology corporation looking software engineer join high performing agile team us scaled agile framework safe methodology support nationally significant fast paced program program execution follows devops best practice employ robust development test production environment behavior driven development bdd test automation tool utilized alongside full suite team collaboration tool program focused injecting new technology adding advanced capability support ongoing operational system responsibility software engineer complete software development task individually member agile team selected individual actively participate program increment planning related team activity analyze study complex system requirement use design software tool provide support using formal specification data flow diagram accepted design technique use computer aided software engineering case tool use sound software engineering principle ensure developed code modifiable efficient reliable understandable fault tolerant reusable selected candidate provide software process management control throughout coding portion software development process promote code reuse cross program collaboration creating common function shared action developer tester engineer author tune document automation script development environment deploy test production bench required qualification clearance t sci w ci poly bachelor degree computer science related discipline relevant work experience may substituted degree demonstrated experience java required experience familiarity multiple following java jee python c c sql soap wsdl wadl perl powershell vbs eclipse postgres oracle jenkins window platform experience user interface development knowledge database structure experience working xhtml html xml xslt experience developing window linux operating system must strong understanding sound software development principle practice must able plan prioritize personal tasking able communicate effectively verbally writing must independent thinker capable performing high quality work independently team fast moving environment preferred qualification experience following jee sql application server tomcat weblogic jboss scripting experience high level requirement management including requirement decomposition secure system engineering development trade analysis interface control testing continuous integration experience software development agile team using agile developer practice pair programming bdd refactoring atdd experience fitnesse mockito cucumber unified functional tester uft selenium experience behavior driven development bdd test driven development tdd secure software development e layer 7 policy experience scaled agile framework safe methodology safe agilest certification past experience member agile team benefit ost equal opportunity employer operating since 1996 providing support various contract government agency offer comprehensive benefit package includes 3 week paid time 11 federal holiday medical dental coverage std ltd life insurance ad 401k 4 match end year profit sharing,N/A
Senior Electrical Engineering & Computer Science Associate,BCG Attorney Search,"Washington, District of Columbia",job overview prestigious law firm looking hire senior associate join electrical engineering computer science patent prosecution practice group ideal candidate posse high level academic achievement solid law firm experience strong writing communication skill role focus overseeing managing patent preparation prosecution diverse client base specializing electrical engineering software related technology location washington dc duty draft file high quality patent application manage patent prosecution process ensuring accuracy timeliness submission supervise mentor junior associate support professional growth draft prosecute patent related advanced technology gpus tpus accelerator neural engine robotics oversee patent preparation prosecution variety electrical engineering software related technology requirement least six year experience patent preparation prosecution undergraduate advanced degree electrical engineering computer engineering software engineering computer science physic expertise drafting prosecuting patent application complex technology strong understanding patent law uspto procedure ability work independently collaboratively team education jd accredited law school undergraduate graduate applicable degree electrical engineering computer science related field certification active bar admission jurisdiction candidate intends practice admission uspto required skill strong written verbal communication skill excellent analytical problem solving ability proven ability manage prosecute patent application ability supervise mentor junior associate knowledge intellectual property patent law benefit discretionary bonus based performance comprehensive medical dental life disability insurance voluntary vision insurance option 401 k retirement plan paid time ranked one best client relationship firm one top best known firm nation attorney firm invested understanding client business angel including risk challenge issue affecting industry amlaw 100 firm value diversity inclusion attorney strive build true partnership firm client firm invests associate providing opportunity professional development based person desired career path goal give individual opportunity achieve best take pride performance quality work compensation firm competitive peer firm region skill ip patent hard science intellectual property general patent agent hard science general,N/A
"Software Engineering Associate - Washington, DC",Accenture Federal Services,"Arlington, Virginia",company description accenture federal service wholly owned subsidiary accenture help u federal agency build government future 4 000 dedicated u employee accenture federal service uniquely positioned support federal agency shattering status quo achieving profound efficiency relentlessly delivering result accenture federal service long time trusted resource federal community every cabinet level agency united state 20 country largest federal government agency worked accenture federal service achieve outcome move toward high performance join u help federal client achieve matter powering service touch nation every day job description bring talent passion organization forefront business technology innovation accenture global management consulting technology service outsourcing company looking graduate join u provide programming technology implementation service help client become high performance business government accenture federal service wholly owned subsidiary accenture help u federal agency build government future 4 000 dedicated u employee accenture federal service uniquely positioned support federal agency shattering status quo achieving profound efficiency relentlessly delivering result accenture federal service long time trusted resource federal community every cabinet level agency united state 20 country largest federal government agency worked accenture federal service achieve outcome move toward high performance join u help federal client achieve matter powering service touch nation every day responsibility entry level software engineering associate assist development delivery management technology based business solution may work coding testing implementing configuration change assist design software application meet functional technical requirement provide project management support part global network technology expert provides programming technology implementation service client across entire range industry sector application development architecture software maintenance system administration help turn innovation effective technology solution part global team work latest software leading edge development tool giving opportunity enhance skill hone expertise collaborative supportive environment training development day one committed providing right experience learning coaching help become effective professional entry level software engineering associate benefit robust training curriculum build business acumen technical professional skill learning take place job formal training conducted online classroom collaboration teammate training something first join company 2012 invested approximately 850 million training professional development throughout career continue follow defined training curriculum attend classroom training access global learning portal 20 000 online learning resource learn global colleague vast online tool knowledge exchange every step way learning growing building getting ready meet next challenge come way qualification basic qualification associate degree bachelor degree graduation date later december 2014 track record strong academic performance 2 8 higher cumulative gpa preferred major computer science computer engineering information system engineering discipline professional skill requirement qualification solid foundation object oriented programming strong microsoft office skill especially excel visio eagerness contribute team oriented environment ability work creatively analytically problem solving environment desire work information system environment strong communication oral written interpersonal relationship building skill good organizational multi tasking time management skill demonstrated leadership professional setting either military civilian demonstrated teamwork collaboration professional setting either military civilian candidate must located within arlington va area commutable distance position requires u citizenship due client security clearance requirement applicant employment u must posse work authorization require future sponsorship employer visa accenture equal opportunity employer accenture committed providing veteran employment opportunity service men woman accenture eeo affirmative action employer female minority veteran individual disability employment decision shall made without regard age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity expression genetic information marital status citizenship status basis protected federal state local law additional information www accenture com federalcareers,N/A
Patent Agent / Computer Science / Software CS / VA 22314 2630-LI,IP Recruiter Group,"Alexandria, Virginia",patent agent computer science software c va 22314 2630 li please apply inquire www iprecruiter com ip job c htm patent agent computer science computer engineering software c ip recruiter group recruiting following opportunity virginia office booming ip practice recruiting another top notch patent agent growing team opportunity primarily pertain preparation prosecution patent domestic foreign client also supporting patent related client need e g international portfolio strategy counseling opinion due diligence patent law team comprised attorney agent strong technical background thus tend attract complex challenging work diverse array client e g cryptography block chain artificial intelligence ai machine learning enterprise mobile application database web cloud service operating system software user interface open source 3d graphic grid computing networking telecommunication network protocol ieee standard network security etc client portfolio assignment dependent upon technical expertise experience patent agent requirement minimum b computer science computer engineering electrical engineering possibly physic ph would preferred previous engineering experience would plus least 3 year patent law experience within well regarded law firm uspto bar excellent client interaction skill dealing inventor level professional client side love keeping law passion understanding new technology never faded relevant term patent agent law firm ip intellectual property computer engineering cryptography block chain software patent artificial intelligence ai enterprise mobile application database web cloud service operating system software user interface open source 3d graphic grid computing wifi 4g 5g networking telecommunication wireless telecom network protocol ieee standard computer science c bscs msc phd network security software engineer uspto attorney u patent agent patent bar law firm job salary salary pay compensation agency agency job legal search firm law firm recruiting recruiter recruitment top recruiter best headhunter headhunter list hiring trend position opening posting online opportunity career mid atlantic east coast washington dc northern virginia va additional note candidate fee paid client firm company consequence reputation integrity providing result often work exclusive assignment advertised another important distinction work directly decision maker e partner managing counsel etc make determination regarding interviewed extended offer etc express commitment information accepted confidence resume submitted without first speaking obtaining explicit permission patent agent computer science software c va 22314 2630 li please apply inquire www iprecruiter com ip job c htm,N/A
Full Stack Software Engineer - Brand new work! - TS/SCI Jobs,SRC,"Falls Church, Virginia",stanley reid one stop shop connecting top contractor exciting ic dod opportunity team expert go beyond finding job providing personalized guidance match unique skill goal perfect fit focus stress free job search let chat unlock career potential client seeking full stack software engineer brand new work opportunity time sensitive need move quickly work involves developing front end back end prototype software requirement multiple ai based capability relevant qualification bachelor degree computer science similar 5 year professional experience experience python experience javascript experience java preferred experience front end framework react vue experience ci cd experience kubernetes work located fall church va requires t sci,N/A
"Software Engineer Intern, application via RippleMatch",RippleMatch Opportunities,"Washington, District of Columbia",role ripplematch partner company ripplematch partner hundred company looking hire top talent ripplematch ripplematch ai powered job matchmaker platform brings opportunity directly matching top employer job qualified tell u strength goal get interview leading employer leverage ripplematch build high performing team gen z job seeker across country trust ripplematch launch grow career requirement role currently pursuing bachelor master degree computer science software engineering information technology related field strong foundation programming language java c python javascript understanding basic software development methodology e g agile scrum software development lifecycle familiarity database concept basic sql interest designing coding testing maintaining software application strong problem solving skill ability participate debugging technical challenge good organizational project management skill ability handle multiple task deadline effective communication interpersonal skill essential working collaboratively team environment eagerness learn new technology software development practice analytical skill aptitude learning quickly adapting new programming environment,N/A
Computer Science Academic Specialist,Anne Arundel County Public Schools,"Arnold, Maryland",company description anne arundel county public school aacps offer comprehensive multicultural curriculum kindergarten 12th grade focusing success every student located arnold md aacps near baltimore washington c access historic landmark recreational activity school system provides competitive salary benefit mentor program opportunity career advancement education role description full time site role computer science academic specialist anne arundel county public school specialist responsible day day task related computer science education software development communication programming informatics qualification computer science software development skill programming informatics ability strong communication skill experience curriculum development instruction knowledge educational technology software application master degree computer science related field,N/A
College Park Remote Or In Person Computer Science Tutor,BuffTutor Network,"College Park, Maryland",college park remote person computer science tutor bufftutor network experienced passionate tutor provide academic assistance college high school student always hiring dedicated tutor love teaching join u responsibility provide 1 1 person online tutoring university high school student primarily hiring stem tutor assist course math calculus physic chemistry biology economics etc benefit set rate person online tutoring available meet wherever work set schedule meet whenever work work many student would like qualification least 3 0 better major gpa 4 0 earned b better course wish tutor least one year two semester experience tutor teacher teaching learning assistant instructor excellent communication skill must fluent language teach foreign language tutor must fluent foreign language wish tutor bufftutor bufftutor dedicated connecting student intelligent experienced tutor primarily focus university level tutoring also work high school middle school student another tutor list prioritize academic need student also treating tutor dignity respect strictest eligibility criterion challenging proficiency exam best join network tutor set schedule motto quality important quantity take one student best tutor student tutor set rate earn worth review student evaluation help u keep best tutor network bufftutor founded 2009 since helped thousand student parent connect affordable passionate educator please note tutor independent contractor employee applicant must already work permission applicant student must able work campus position sponsor individual cannot work f 1 j 1 international student,N/A
Computer Scientist Jobs,BAE Systems,"Reston, Virginia",job description every action bae system serf higher purpose protecting protect u unwavering commitment safeguarding life defending freedom fuel collective passion join purpose driven community every effort count every contribution resonates globally bae system seeking computer scientist support government customer reston va patrick space force base fl computer scientist working classified environment employ mathematics statistic information science artificial intelligence machine learning network science probability modeling data mining data engineering data warehousing data compression data protection scientific technique correlate complex technical finding graphical written visual verbal narrative product trend existing intelligence data leverage ic data source responsibility include identify capture track assist execute establishment new osint pai capability training data subscription requirement working officer dia mission directorate combatant command service dod osint stakeholder assist vetting validation design testing process osic capability requirement provie technical expertise required osint pai data requirement acquisition assist development deployment security approval osic capability service provide technical expertise required osint user interface user experience data requirement acquisition provide technical expertise required scrum sprint capability data requirement software acquisition develop utilize machine learning data mining algorithm including limited multiple information model synthesis architecture mimosa prediction algorithm based open source capability integrate code algorithm support government intelligence search discovery mission assist development automated capability aggregate license information dissemination license report briefing create brief senior leadership detailing nuance account license management metric assist design maintenance logical physical data model relational dimensional data dictionary database volumetrics work define basic file organization indexing method security procedure specific user application maintains database dictionary monitor standard procedure integration system database design close supervision maintains accurate date knowledge database information requirement maximizing database potential help provide assistance various client required database design implementation troubleshooting maintain standard documentation eks01 required education experience skill junior bachelor degree computer science 3 year computer science experience experience within last 2 year 7 year experience mid level bachelor degree computer science 8 year computer science experience experience within last 2 year 10 year experience senior master degree computer science 12 year computer science experience experience within last 2 year bachelor degree 17 year experience experience utilizing commercial shelf cot osint tool include limited berber hunter tool kit application e g silo scraawl data miner babel knowledgeable demonstrates ability apply ic dod classification guideline procedure preferred education experience skill graduate government osint training course e g u army obc os301 os302 caso defense ic equivalent dia botc fbi os101 experience conducting computer science support ic dod li to1 pay information full time salary range 75570 128480 please note range based market pay structure however individual salary determined variety factor including limited business consideration local market condition internal equity well candidate qualification skill education experience employee benefit bae system support employee aspect life including health financial well regular employee scheduled work 20 hour per week offered health dental vision insurance health saving account 401 k saving plan disability coverage life accident insurance also employee assistance program legal plan perk including discount thing like home auto pet insurance leave program include paid time paid holiday well type leave including paid parental military bereavement applicable federal state sick leave employee may participate company recognition program receive monetary non monetary recognition award incentive may available based position level job specific bae system intelligence security bae system inc u subsidiary bae system plc international defense aerospace security company delivers full range product service air land naval force well advanced electronics security information technology solution customer support service improving future protecting life ambitious mission bae system working mean using passion ingenuity count defending national security breakthrough technology superior product intelligence solution develop latest technology defend national security continually hone skill team making big impact global scale bae system find rewarding career truly make difference intelligence security based mclean virginia design delivers advanced defense intelligence security solution support important mission customer pride dedication show everything intelligence analysis cyber operation expertise system development system integration operation maintenance service knowing work enables u military government recognize manage defeat threat inspires u push technology new level position posted least 5 calendar day posting remain active position filled qualified pool candidate identified,N/A
Computer Scientist,Department of the Air Force - Agency Wide,"Washington, District of Columbia",click learn agency button important additional information direct hire solicitation public notice gather application may may result referral selection,N/A
Cryptologic Computer Scientist-2,Leidos,"Odenton, Maryland",description leidos new exciting opportunity cryptologic computer scientist national security sector n cyber analytics business area caba talented team forefront security engineering computer network operation cno mission software analytical method modeling signal intelligence sigint cryptographic key management leidos offer competitive benefit including paid time 11 paid holiday 401k 6 company match immediate vesting flexible schedule discounted stock purchase plan technical upskilling education training support parental paid leave much join u make difference national security job summary looking interesting meaningful way apply knowledge talent corporate vision leidos global leader development application technology solve customer demanding challenge looking cryptologic computer scientist join team fort meade maryland supporting development operation miss opportunity take career next level part innovative dynamic environment apply job responsibility qualification mission focus design develop deliver operate solution hard cryptologic computer science problem within scientific framework use state art technique tool approach range computer science skill operating system compiler theory database theory algorithm analysis computer architecture discrete math programming language theory data structure technical proficiency develop solution problem set forensics attack attribution protection critical network active system warning indicator active penetration target system knowledge discovery passive active system cryptologic computer science mission support qualification bachelor degree plus 5 year relevant experience master degree plus 3 year relevant experience doctoral degree 2 year relevant experience associate degree plus 7 year relevant experience may considered individual depth experience clearly related position security clearance requirement candidate must posse active t sci polygraph clearance considered role desirable skill relevant experience computer system research simulation model development prototyping software design programming computational science algorithm analysis design reverse engineering designing developing computer information system including engineering hardware software leidos opportunity boundless challenge staff interesting assignment allow thrive professionally personally u helping grow career good business look forward learning apply today career leidos com conmd original posting april 16 2025 u position subject change based business need leidos reasonably anticipates job requisition remain open least 3 day anticipated close date earlier 3 day original posting date listed pay range pay range 85 150 00 153 925 00 leidos pay range job level general guideline guarantee compensation salary additional factor considered extending offer include limited responsibility job education experience knowledge skill ability well internal equity alignment market data applicable bargaining agreement law,N/A
